Date,Address,Postcode,Type,New-build,Tenure,Bedrooms,"Price paid",Lat,Lng,URL
"2017-10-16 00:00:00","314b, East Street","SE17 2SX",Flat,"Old stock",Leasehold,3,595000,51.490129,-0.082452,https://propertydata.co.uk/transaction/5F54B81D-C7E9-2B45-E053-6B04A8C01FB0
"2017-10-13 00:00:00","37a, Wooler Street","SE17 2ED",Flat,"Old stock",Leasehold,3,475000,51.487879,-0.088927,https://propertydata.co.uk/transaction/666758D7-59A9-3363-E053-6B04A8C0D74E
"2017-09-29 00:00:00","145, Pilton Place","SE17 1DJ",Flat,"Old stock",Leasehold,2,340000,51.488885,-0.093293,https://propertydata.co.uk/transaction/61D8894E-5E60-3DE6-E053-6C04A8C01207
"2017-09-29 00:00:00","101, Pages Walk","SE1 4HD","Terraced house","Old stock",Freehold,2,850000,51.493456,-0.081894,https://propertydata.co.uk/transaction/5CF9903C-66BC-7F13-E053-6C04A8C074B1
"2017-09-29 00:00:00","69, Wansey Street","SE17 1FF","Terraced house",New-build,Leasehold,3,1450000,51.492111,-0.094717,https://propertydata.co.uk/transaction/5F54B81D-CBA8-2B45-E053-6B04A8C01FB0
"2017-09-27 00:00:00","168c, Portland Street","SE17 2NS",Flat,"Old stock",Leasehold,1,335000,51.48724,-0.090034,https://propertydata.co.uk/transaction/64342BFE-ED2E-422C-E053-6C04A8C0FB8A
"2017-09-26 00:00:00","67, Wansey Street","SE17 1FF","Terraced house",New-build,Leasehold,3,1450000,51.492111,-0.094717,https://propertydata.co.uk/transaction/5F54B81D-CB95-2B45-E053-6B04A8C01FB0
"2017-08-30 00:00:00","129, Pilton Place","SE17 1DJ",Flat,"Old stock",Leasehold,2,285000,51.488885,-0.093293,https://propertydata.co.uk/transaction/5CF9903C-8AE9-7F13-E053-6C04A8C074B1
"2017-08-25 00:00:00","4a, Oakley Place","SE1 5AD",Flat,"Old stock",Leasehold,2,555000,51.48662,-0.075728,https://propertydata.co.uk/transaction/5A9D8B55-C25B-68EB-E053-6B04A8C0D293
"2017-08-25 00:00:00","4, Salisbury Close","SE17 1BY",Flat,"Old stock",Leasehold,3,400000,51.492067,-0.089343,https://propertydata.co.uk/transaction/5A9D8B55-C2F9-68EB-E053-6B04A8C0D293
"2017-08-24 00:00:00","166c, Portland Street","SE17 2NS",Flat,"Old stock",Leasehold,3,525000,51.48724,-0.090034,https://propertydata.co.uk/transaction/61D8894E-5FF9-3DE6-E053-6C04A8C01207
"2017-08-23 00:00:00","33, Alscot Way","SE1 5XU","Terraced house","Old stock",Freehold,3,640000,51.492777,-0.07557,https://propertydata.co.uk/transaction/5A9D8B55-C00F-68EB-E053-6B04A8C0D293
"2017-08-17 00:00:00","83, Balfour Street","SE17 1PL",Flat,"Old stock",Leasehold,3,685000,51.493225,-0.091398,https://propertydata.co.uk/transaction/5A9D8B55-C220-68EB-E053-6B04A8C0D293
"2017-08-11 00:00:00","71, Wansey Street","SE17 1FF","Terraced house",New-build,Leasehold,3,1386500,51.492111,-0.094717,https://propertydata.co.uk/transaction/5F54B81D-CA30-2B45-E053-6B04A8C01FB0
"2017-08-07 00:00:00","63, Wansey Street","SE17 1FF","Terraced house",New-build,Leasehold,3,1403750,51.492111,-0.094717,https://propertydata.co.uk/transaction/5F54B81D-CA3B-2B45-E053-6B04A8C01FB0
"2017-08-04 00:00:00","65, Wansey Street","SE17 1FF","Terraced house",New-build,Leasehold,3,1450000,51.492111,-0.094717,https://propertydata.co.uk/transaction/5F54B81D-CA3D-2B45-E053-6B04A8C01FB0
"2017-07-28 00:00:00","10a, Oakley Place","SE1 5AD",Flat,"Old stock",Leasehold,2,490000,51.48662,-0.075728,https://propertydata.co.uk/transaction/5A9D8B55-C03B-68EB-E053-6B04A8C0D293
"2017-07-28 00:00:00","168, Trafalgar Street","SE17 2TP","Terraced house","Old stock",Freehold,3,725000,51.487911,-0.089272,https://propertydata.co.uk/transaction/582D0637-9752-8F22-E053-6C04A8C01BAC
"2017-07-12 00:00:00","83a, Balfour Street","SE17 1PL",Flat,"Old stock",Leasehold,1,465000,51.493225,-0.091398,https://propertydata.co.uk/transaction/582D0637-9692-8F22-E053-6C04A8C01BAC
